time, block_id, block_x, block_y, block_width, block_height
2021-07-21 13:45:50.086888, 1, 154, 111, 156, 189
2021-07-21 13:45:50.086888, 1, 172, 189,  52,  34
2021-07-21 13:45:50.101831, 1, 156, 112, 152, 190
2021-07-21 13:45:50.115631, 1, 155, 111, 154, 192
2021-07-21 13:45:50.129469, 1, 156, 111, 152, 192
2021-07-21 13:45:50.166354, 1, 154,  80, 160, 134
2021-07-21 13:45:50.181041, 1, 157,  83, 150, 140
2021-07-21 13:45:50.206895, 1, 138,  78, 188, 132
2021-07-21 13:45:50.210826, 1, 153, 109, 158, 195
2021-07-21 13:45:50.226961, 1, 152, 109, 160, 196
2021-07-21 13:45:50.246884, 1, 152, 108, 160, 195
2021-07-21 13:45:50.259460, 1, 162,  78, 140, 134
2021-07-21 13:45:50.284177, 1, 137, 109, 190, 196
2021-07-21 13:45:50.297118, 1, 159, 109, 146, 196
2021-07-21 13:45:50.308153, 1, 158, 109, 148, 196
2021-07-21 13:45:50.327072, 1, 157, 108, 150, 195
2021-07-21 13:45:50.343744, 1, 164, 109, 140, 196
2021-07-21 13:45:50.362722, 1, 146, 108, 176, 195
2021-07-21 13:45:50.373283, 1, 163,  75, 142, 128
2021-07-21 13:45:50.396526, 1, 147, 108, 174, 195
2021-07-21 13:45:50.416282, 1, 159,  74, 150, 125
2021-07-21 13:45:50.427028, 1, 140, 108, 188, 197
2021-07-21 13:45:50.445389, 1, 134, 108, 200, 197
2021-07-21 13:45:50.456922, 1, 129, 108, 214, 197
2021-07-21 13:45:50.487026, 1, 129, 108, 214, 197
2021-07-21 13:45:50.506378, 1, 131, 108, 210, 198
2021-07-21 13:45:50.526390, 1, 131, 108, 210, 197
2021-07-21 13:45:50.546526, 1, 130, 109, 208, 196
2021-07-21 13:45:50.554995, 1, 133, 108, 210, 197
2021-07-21 13:45:50.576386, 1, 133, 109, 206, 196
2021-07-21 13:45:50.586880, 1, 136, 108, 204, 196
2021-07-21 13:45:50.606896, 1, 137, 108, 202, 196
2021-07-21 13:45:50.624894, 1, 139, 108, 198, 196
2021-07-21 13:45:50.636925, 1, 142, 108, 196, 195
2021-07-21 13:45:50.656886, 1, 144, 108, 196, 195
2021-07-21 13:45:50.667332, 1, 146, 109, 192, 194
2021-07-21 13:45:50.686901, 1, 149, 108, 190, 193
2021-07-21 13:45:50.699822, 1, 151, 108, 190, 190
2021-07-21 13:45:50.716893, 1, 152, 107, 184, 188
2021-07-21 13:45:50.736879, 1, 156, 106, 176, 185
2021-07-21 13:45:50.748501, 1, 158, 105, 172, 183
2021-07-21 13:45:50.771966, 1, 160, 105, 168, 180
2021-07-21 13:45:50.785525, 1, 165, 105, 162, 176
2021-07-21 13:45:50.798240, 1, 169, 104, 154, 174
2021-07-21 13:45:50.816913, 1, 166, 104, 152, 170
2021-07-21 13:45:50.827756, 1, 167, 103, 150, 167
2021-07-21 13:45:50.846905, 1, 170, 107, 148, 156
2021-07-21 13:45:50.860185, 1, 164, 147, 124,  73
2021-07-21 13:45:50.878442, 1, 173, 126, 142, 110
2021-07-21 13:45:50.905531, 1, 165, 141, 114,  76
2021-07-21 13:45:50.908980, 1, 172, 101, 136, 151
2021-07-21 13:45:50.930812, 1, 167, 142, 122,  64
2021-07-21 13:45:50.957442, 1, 162, 134, 120,  75
2021-07-21 13:45:50.976386, 1, 168, 143, 108,  53
2021-07-21 13:45:51.006391, 1, 166, 132, 104,  72
2021-07-21 13:45:51.006391, 1, 166,  32,  28,   3
2021-07-21 13:45:51.012449, 1, 170, 138, 104,  51
2021-07-21 13:45:51.012449, 1, 170,  33,  28,   2
2021-07-21 13:45:51.038302, 1, 166, 124, 104,  74
2021-07-21 13:45:51.038302, 1, 169,  35,  38,   4
2021-07-21 13:45:51.044286, 1, 169, 124, 102,  72
2021-07-21 13:45:51.044286, 1, 166,  35,  32,   3
2021-07-21 13:45:51.068351, 1, 168, 125,  96,  64
2021-07-21 13:45:51.068351, 1, 172,  35,  20,   3
2021-07-21 13:45:51.081974, 1, 170, 122,  96,  65
2021-07-21 13:45:51.081974, 1, 173,  37,  22,   2
2021-07-21 13:45:51.102818, 1, 169, 129,  90,  47
2021-07-21 13:45:51.102818, 1, 173,  37,  22,   2
2021-07-21 13:45:51.118421, 1, 164, 127,  80,  50
2021-07-21 13:45:51.118421, 1, 173,  37,  22,   2
2021-07-21 13:45:51.146704, 1, 172, 125,  84,  46
2021-07-21 13:45:51.146704, 1, 182,  92,  28,   2
2021-07-21 13:45:51.152443, 1, 173, 104,  82,  86
2021-07-21 13:45:51.152443, 1, 182,  92,  28,   2
2021-07-21 13:45:51.176179, 1, 173, 104,  82,  84
2021-07-21 13:45:51.176179, 1, 182,  92,  28,   2
2021-07-21 13:45:51.196368, 1, 165, 125,  58,  40
2021-07-21 13:45:51.206873, 1, 174, 117,  72,  54
2021-07-21 13:45:51.226927, 1, 167, 120,  22,   8
2021-07-21 13:45:51.237305, 1, 175, 112,  70,  44
2021-07-21 13:45:51.256858, 1, 166, 117,  52,  19
2021-07-21 13:45:51.274408, 1, 171, 107,  62,  37
2021-07-21 13:45:51.286853, 1, 171, 107,  62,  37
2021-07-21 13:45:51.306888, 1, 181,  94,  50,  31
2021-07-21 13:45:51.314793, 1, 181,  94,  50,  31
2021-07-21 13:45:51.336915, 1, 175, 106,  58,   8
2021-07-21 13:45:51.353980, 1, 175, 106,  58,   8
2021-07-21 13:45:51.368464, 1, 175, 106,  58,   8
